TIME      DELTA         INSNs   OPERATION
frequency 10
0         [+0]          [+   1] 7f7ab0a14cc0
                        [+  21]                                                                         7f7ab0a2c198 -> 7f7ab0a2bfc0
                        [+  21]                                                                         7f7ab0a2c198 -> 7f7ab0a2bfc0
                        [+  20]                                                                         7f7ab0a2c232 -> 7f7ab0a2bfc0
                        [+  16]                                                                         7f7ab0a2c232 -> 7f7ab0a2bfc0
                        [+  16]                                                                         7f7ab0a2c232 -> 7f7ab0a2bfc0
                        [+  16]                                                                         7f7ab0a2c232 -> 7f7ab0a2bfc0
                        [+  54]                                                                         7f7ab0a2c5df -> 7f7ab0a30dc0
                        [+   9]                                                                         7f7ab0a2c602 -> 7f7ab0a31d50
                        [+   2]                                                                         7f7ab0a2c60a -> 7f7ab0a30d70
                        [+   5]                                                                             7f7ab0a30d79 -> 7f7ab0a30dc0
                        [+   3]                                                                             7f7ab0a30d85 -> 7f7ab0a14a80
                        [+  18]                                                                     7f7ab0a1cfe1 -> 7f7ab0a19540
                        [+  23]                                                                         7f7ab0a19592 -> 7f7ab0a2f150
                        [+   2]                                                                             7f7ab0a2f155 -> 7f7ab0a2f157
                        [+  15]                                                                             7f7ab0a195d6 -> 7f7ab0a2f170
                        [+   2]                                                                                 7f7ab0a2f175 -> 7f7ab0a2f177
                        [+  13]                                                                                 7f7ab0a1960d -> 7f7ab0a314d0
                        [+   6]                                                                                 7f7ab0a199b8 -> 7f7ab0a314d0
                        [+   9]                                                                                 7f7ab0a19636 -> 7f7ab0a314d0
                        [+ 100]                                                                                 7f7ab0a1975f -> 7f7ab0a314d0
                        [+  18]                                                                                 7f7ab0a1975f -> 7f7ab0a314d0
                        [+  30]                                                                             7f7ab0a1ca52 -> 7f7ab0a1a160
                        [+  18]                                                                                 7f7ab0a1a1a2 -> 7f7ab0a24ea0
                        [+   5]                                                                                 7f7ab0a1a1bd -> 7f7ab0a2f0d0
                        [+   7]                                                                                     7f7ab0a2f0e2 -> 7f7ab0a2f0e4
                        [+  54]                                                                                     7f7ab0a1a338 -> 7f7ab0a1f9c0
                        [+  15]                                                                                         7f7ab0a1f9e9 -> 7f7ab0a30dc0
                        [+  19]                                                                                         7f7ab0a1fa21 -> 7f7ab0a14a90
                        [+  12]                                                                                         7f7ab0a1fa5b -> 7f7ab0a31d50
                        [+  55]                                                                                         7f7ab0a1fb89 -> 7f7ab0a30dc0
                        [+  10]                                                                                         7f7ab0a1fd1f -> 7f7ab0a14a80
                        [+   8]                                                                                         7f7ab0a1fcc3 -> 7f7ab0a31b20
                        [+ 261]                                                                                     7f7ab0a1a61a -> 7f7ab0a26f90
                        [+  95]                                                                                     7f7ab0a1a6f8 -> 7f7ab0a2f270
                        [+  26]                                                                                         7f7ab0a2f2a8 -> 7f7ab0a2f2aa
                        [+  21]                                                                                         7f7ab0a1b08c -> 7f7ab0a2f340
                        [+   2]                                                                                             7f7ab0a2f345 -> 7f7ab0a2f347
                        [+  35]                                                                                             7f7ab0a1a80c -> 7f7ab0a2f270
                        [+  22]                                                                                                 7f7ab0a2f2a8 -> 7f7ab0a2f2aa
                        [+  33]                                                                                                 7f7ab0a1af93 -> 7f7ab0a31a30
                        [+  15]                                                                                                 7f7ab0a1b160 -> 7f7ab0a2f270
                        [+  22]                                                                                                     7f7ab0a2f2a8 -> 7f7ab0a2f2aa
                        [+  75]                                                                                                     7f7ab0a1ac53 -> 7f7ab0a2f250
                        [+   2]                                                                                                         7f7ab0a2f255 -> 7f7ab0a2f257
                        [+  12]                                                                                                         7f7ab0a1ac94 -> 7f7ab0a1f880
                        [+  16]                                                                                                         7f7ab0a1ad53 -> 7f7ab0a1f930
                        [+   7]                                                                                                             7f7ab0a1f941 -> 7f7ab0a14d20
                        [+ 300]                                                                                         7f7ab0a21fd8 -> 7f7ab0a2f710
                        [+   9]                                                                                         7f7ab0a2200d -> 7f7ab0a24320
                        [+  13]                                                                                             7f7ab0a2435a -> 7f7ab0a14d10
